Horizon (min),Model,Feature configuration,Internal feature_set,Folds,MAE,RMSE,R2,Runtime (s)
30,TimeMixer,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.432 ± 0.152,0.552 ± 0.165,0.861 ± 0.059,3.95 ± 1.03
30,iTransformer,AR-only,AR_only,5,0.418 ± 0.052,0.560 ± 0.070,0.858 ± 0.029,4.97 ± 3.04
30,RF,AR-PAR,AR_PAR,5,0.420 ± 0.103,0.560 ± 0.121,0.858 ± 0.047,0.28 ± 0.03
30,PatchTST,AR-LeafParents-window,AR_AirT_PAR_window,5,0.435 ± 0.158,0.568 ± 0.205,0.850 ± 0.073,3.95 ± 1.72
30,XGBoost,AR-PAR,AR_PAR,5,0.436 ± 0.097,0.578 ± 0.127,0.849 ± 0.045,0.09 ± 0.00
30,iTransformer,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.451 ± 0.167,0.580 ± 0.194,0.848 ± 0.069,4.06 ± 3.41
30,RF,AR-AirT,AR_AirT,5,0.430 ± 0.147,0.601 ± 0.213,0.833 ± 0.087,0.27 ± 0.02
30,RF,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.448 ± 0.127,0.605 ± 0.178,0.834 ± 0.068,0.30 ± 0.02
30,XGBoost,AR-AirT,AR_AirT,5,0.431 ± 0.147,0.610 ± 0.237,0.828 ± 0.094,0.09 ± 0.01
30,XGBoost,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.455 ± 0.138,0.630 ± 0.204,0.819 ± 0.086,0.09 ± 0.01
30,RF,AR-AirT-PAR,AR_AirT_PAR,5,0.477 ± 0.155,0.630 ± 0.202,0.820 ± 0.079,0.29 ± 0.06
30,XGBoost,AR-AllState,AR_AllState,5,0.480 ± 0.185,0.642 ± 0.245,0.809 ± 0.110,0.09 ± 0.01
30,XGBoost,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.468 ± 0.198,0.643 ± 0.269,0.806 ± 0.125,0.10 ± 0.01
30,XGBoost,AR-LeafParents-window,AR_AirT_PAR_window,5,0.488 ± 0.198,0.662 ± 0.271,0.794 ± 0.133,0.10 ± 0.01
30,XGBoost,AR-LeafParents,AR-LeafParents,5,0.501 ± 0.166,0.664 ± 0.213,0.798 ± 0.096,0.09 ± 0.00
30,XGBoost,AR-AirT-PAR,AR_AirT_PAR,5,0.501 ± 0.176,0.672 ± 0.239,0.792 ± 0.111,0.09 ± 0.01
30,RF,AR-AllState,AR_AllState,5,0.531 ± 0.207,0.690 ± 0.260,0.779 ± 0.127,0.28 ± 0.02
30,RF,AR-LeafParents-window,AR_AirT_PAR_window,5,0.519 ± 0.222,0.698 ± 0.302,0.772 ± 0.148,0.29 ± 0.03
30,RF,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.519 ± 0.220,0.700 ± 0.299,0.772 ± 0.145,0.32 ± 0.02
30,RF,AR-LeafParents,AR-LeafParents,5,0.566 ± 0.176,0.728 ± 0.222,0.758 ± 0.112,0.25 ± 0.02
30,iTransformer,AR-LeafParents,AR-LeafParents,5,0.651 ± 0.261,0.831 ± 0.258,0.682 ± 0.157,4.68 ± 4.07
30,iTransformer,AR-LeafParents-window,AR_AirT_PAR_window,5,0.734 ± 0.268,0.868 ± 0.264,0.653 ± 0.157,2.88 ± 0.83
30,iTransformer,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.683 ± 0.264,0.883 ± 0.299,0.643 ± 0.172,4.75 ± 2.43
60,PatchTST,AR-AirT-PAR,AR_AirT_PAR,5,0.431 ± 0.111,0.570 ± 0.152,0.845 ± 0.076,3.70 ± 1.67
60,PatchTST,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.446 ± 0.103,0.588 ± 0.146,0.840 ± 0.068,2.44 ± 0.69
60,PatchTST,AR-AirT,AR_AirT,5,0.459 ± 0.157,0.598 ± 0.192,0.833 ± 0.076,4.52 ± 1.73
60,iTransformer,AR-AirT,AR_AirT,5,0.456 ± 0.136,0.619 ± 0.168,0.823 ± 0.078,4.01 ± 2.12
60,Ridge,AR-AllState,AR_AllState,5,0.507 ± 0.059,0.623 ± 0.087,0.822 ± 0.051,0.00 ± 0.00
60,TimeMixer,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.510 ± 0.115,0.646 ± 0.148,0.810 ± 0.067,1.47 ± 0.20
60,TimeMixer,AR-AirT-PAR,AR_AirT_PAR,5,0.510 ± 0.173,0.653 ± 0.213,0.805 ± 0.086,1.51 ± 0.65
60,Ridge,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.532 ± 0.053,0.654 ± 0.050,0.802 ± 0.052,0.00 ± 0.00
60,Ridge,AR-AirT,AR_AirT,5,0.521 ± 0.056,0.654 ± 0.099,0.802 ± 0.066,0.00 ± 0.00
60,PatchTST,AR-only,AR_only,5,0.485 ± 0.060,0.660 ± 0.088,0.801 ± 0.052,6.01 ± 1.52
60,Ridge,AR-LeafParents-window,AR_AirT_PAR_window,5,0.556 ± 0.054,0.679 ± 0.061,0.791 ± 0.030,0.00 ± 0.00
60,Ridge,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.563 ± 0.047,0.684 ± 0.053,0.786 ± 0.044,0.00 ± 0.00
60,TimeMixer,AR-AirT,AR_AirT,5,0.531 ± 0.154,0.689 ± 0.185,0.784 ± 0.084,1.85 ± 1.24
60,Ridge,AR-AirT-PAR,AR_AirT_PAR,5,0.574 ± 0.054,0.696 ± 0.058,0.780 ± 0.034,0.00 ± 0.00
60,Ridge,AR-LeafParents,AR-LeafParents,5,0.575 ± 0.055,0.698 ± 0.059,0.779 ± 0.034,0.00 ± 0.00
60,iTransformer,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.548 ± 0.099,0.698 ± 0.111,0.775 ± 0.076,2.56 ± 0.50
60,TimeMixer,AR-only,AR_only,5,0.539 ± 0.075,0.715 ± 0.108,0.767 ± 0.065,4.00 ± 2.04
60,iTransformer,AR-AirT-PAR,AR_AirT_PAR,5,0.574 ± 0.183,0.724 ± 0.204,0.758 ± 0.111,3.07 ± 1.10
60,RF,AR-only,AR_only,5,0.557 ± 0.055,0.737 ± 0.069,0.756 ± 0.019,0.25 ± 0.02
60,XGBoost,AR-only,AR_only,5,0.563 ± 0.048,0.742 ± 0.067,0.751 ± 0.031,0.09 ± 0.00
60,Ridge,AR-PAR,AR_PAR,5,0.606 ± 0.070,0.747 ± 0.065,0.748 ± 0.035,0.00 ± 0.00
60,TimeMixer,AR-LeafParents,AR-LeafParents,5,0.603 ± 0.197,0.752 ± 0.242,0.746 ± 0.107,2.68 ± 0.68
60,TimeMixer,AR-LeafParents-window,AR_AirT_PAR_window,5,0.605 ± 0.179,0.752 ± 0.172,0.745 ± 0.082,2.75 ± 1.03
60,Ridge,AR-only,AR_only,5,0.596 ± 0.043,0.762 ± 0.065,0.738 ± 0.029,0.00 ± 0.00
60,PatchTST,AR-LeafParents-window,AR_AirT_PAR_window,5,0.603 ± 0.191,0.766 ± 0.198,0.736 ± 0.083,3.87 ± 2.07
60,PatchTST,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.563 ± 0.218,0.767 ± 0.319,0.730 ± 0.163,4.19 ± 2.01
60,ValidationSelected,Two-stage CBF-validation,TwoStage_CBF_AirT_PAR_ValidationSelected,5,0.623 ± 0.119,0.767 ± 0.154,0.738 ± 0.050,0.19 ± 0.19
60,iTransformer,AR-only,AR_only,5,0.609 ± 0.073,0.796 ± 0.097,0.715 ± 0.038,4.13 ± 1.10
60,PatchTST,AR-LeafParents,AR-LeafParents,5,0.612 ± 0.268,0.820 ± 0.405,0.686 ± 0.240,4.81 ± 2.52
60,TimeMixer,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.682 ± 0.185,0.836 ± 0.189,0.684 ± 0.102,2.98 ± 1.81
60,iTransformer,AR-LeafParents-window,AR_AirT_PAR_window,5,0.719 ± 0.280,0.872 ± 0.269,0.654 ± 0.153,3.50 ± 1.18
60,RF,AR-AirT,AR_AirT,5,0.655 ± 0.224,0.892 ± 0.319,0.629 ± 0.205,0.28 ± 0.01
60,iTransformer,AR-LeafParents,AR-LeafParents,5,0.721 ± 0.274,0.911 ± 0.324,0.619 ± 0.198,3.27 ± 1.08
60,RF,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.669 ± 0.176,0.915 ± 0.262,0.622 ± 0.146,0.29 ± 0.03
60,XGBoost,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.672 ± 0.204,0.942 ± 0.325,0.595 ± 0.202,0.09 ± 0.01
60,XGBoost,AR-AirT,AR_AirT,5,0.668 ± 0.238,0.954 ± 0.414,0.565 ± 0.297,0.09 ± 0.01
60,iTransformer,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.763 ± 0.294,0.961 ± 0.346,0.579 ± 0.215,3.43 ± 1.65
60,RF,AR-PAR,AR_PAR,5,0.826 ± 0.368,1.097 ± 0.473,0.429 ± 0.390,0.27 ± 0.01
60,XGBoost,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.786 ± 0.416,1.101 ± 0.608,0.397 ± 0.522,0.10 ± 0.00
60,XGBoost,AR-LeafParents-window,AR_AirT_PAR_window,5,0.793 ± 0.403,1.101 ± 0.595,0.405 ± 0.498,0.11 ± 0.02
60,XGBoost,AR-PAR,AR_PAR,5,0.837 ± 0.353,1.102 ± 0.466,0.431 ± 0.365,0.09 ± 0.00
60,XGBoost,AR-AllState,AR_AllState,5,0.806 ± 0.379,1.103 ± 0.520,0.411 ± 0.452,0.09 ± 0.00
60,RF,AR-AirT-PAR,AR_AirT_PAR,5,0.812 ± 0.342,1.109 ± 0.471,0.421 ± 0.382,0.27 ± 0.02
60,RF,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.799 ± 0.368,1.122 ± 0.551,0.397 ± 0.456,0.31 ± 0.03
60,XGBoost,AR-LeafParents,AR-LeafParents,5,0.847 ± 0.374,1.136 ± 0.520,0.374 ± 0.474,0.09 ± 0.00
60,RF,AR-LeafParents-window,AR_AirT_PAR_window,5,0.821 ± 0.384,1.153 ± 0.561,0.365 ± 0.476,0.30 ± 0.02
60,RF,AR-AllState,AR_AllState,5,0.868 ± 0.390,1.153 ± 0.503,0.366 ± 0.446,0.29 ± 0.03
60,XGBoost,AR-AirT-PAR,AR_AirT_PAR,5,0.841 ± 0.372,1.160 ± 0.533,0.355 ± 0.471,0.12 ± 0.01
60,RF,AR-LeafParents,AR-LeafParents,5,0.882 ± 0.322,1.179 ± 0.453,0.353 ± 0.383,0.25 ± 0.02
120,PatchTST,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.762 ± 0.094,0.953 ± 0.115,0.589 ± 0.082,3.33 ± 0.94
120,Ridge,AR-AllState,AR_AllState,5,0.809 ± 0.072,0.969 ± 0.086,0.575 ± 0.067,0.00 ± 0.00
120,iTransformer,AR-AirT,AR_AirT,5,0.745 ± 0.132,0.977 ± 0.161,0.570 ± 0.093,3.65 ± 1.17
120,Ridge,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.837 ± 0.110,0.999 ± 0.109,0.533 ± 0.150,0.00 ± 0.00
120,TimeMixer,AR-LeafParents,AR-LeafParents,5,0.834 ± 0.119,1.012 ± 0.092,0.533 ± 0.089,2.89 ± 1.66
120,PatchTST,AR-AirT,AR_AirT,5,0.814 ± 0.206,1.014 ± 0.261,0.538 ± 0.147,2.79 ± 0.80
120,PatchTST,AR-AirT-PAR,AR_AirT_PAR,5,0.831 ± 0.140,1.018 ± 0.168,0.535 ± 0.087,2.45 ± 0.36
120,PatchTST,AR-LeafParents,AR-LeafParents,5,0.813 ± 0.135,1.026 ± 0.135,0.525 ± 0.082,3.03 ± 0.76
120,TimeMixer,AR-AirT-PAR,AR_AirT_PAR,5,0.835 ± 0.125,1.038 ± 0.149,0.516 ± 0.072,1.79 ± 0.83
120,iTransformer,AR-AirT-PAR,AR_AirT_PAR,5,0.823 ± 0.216,1.044 ± 0.256,0.514 ± 0.135,2.85 ± 0.93
