fold,feature_set,model,horizon_steps,horizon_minutes,n,p,n_train,n_val,n_test,runtime_s,train_MAE,train_RMSE,train_R2,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2,feature_display_name,main_manuscript_configuration
fold_5,AR_AirT_PAR_window,TimeMixer,12,120,11440,9,5392,1008,1008,0.7439250946044922,1.2544960349601737,1.633888969979627,0.5012422222289947,0.9551257874790404,1.1847189193649643,0.4350564047006117,0.8802672601376892,1.0929072708003793,0.4110066584138462,AR-LeafParents-window,False
fold_1,AR_AirT_PAR_window,XGBoost,12,120,11440,9,9424,1008,1008,0.10012292861938477,0.686510477619988,0.9384159339958641,0.8263082702173192,0.6909300750399392,0.8371765766990656,0.6706062452266909,0.7721095482508339,0.9407559943670277,0.5308464566945443,AR-LeafParents-window,False
fold_2,AR_AirT_PAR_window,XGBoost,12,120,11440,9,8416,1008,1008,0.09450912475585938,0.7077051520794093,0.9560318774793956,0.808401954875423,1.5085464148294359,2.1912176471147635,-0.5226355984396223,1.350486945273384,1.6669549943294621,-0.3059572853798458,AR-LeafParents-window,False
fold_3,AR_AirT_PAR_window,XGBoost,12,120,11440,9,7408,1008,1008,0.09751152992248535,0.7318306321690967,0.9806013270605471,0.8077054391828618,0.6456676040376935,0.9126142388609609,0.5973391294518071,1.6049598298754009,2.294564406058164,-0.6696500322715875,AR-LeafParents-window,False
fold_4,AR_AirT_PAR_window,XGBoost,12,120,11440,9,6400,1008,1008,0.09150576591491699,0.7288457083598527,0.9811561656953396,0.8185702923856758,0.8559217093735144,1.0710168772459923,0.4343648576118292,0.7201461302071742,1.0059905326614051,0.5107253280605695,AR-LeafParents-window,False
fold_5,AR_AirT_PAR_window,XGBoost,12,120,11440,9,5392,1008,1008,0.10050535202026367,0.7344941579598606,0.9871805271559824,0.8179302653145987,1.0756374738329533,1.4011106707373355,0.20983220921830736,0.93196196861368,1.1832085180938738,0.3096547675952145,AR-LeafParents-window,False
fold_1,AR_AirT_PAR_window,iTransformer,12,120,11440,9,9424,1008,1008,6.177910327911377,1.0114888508261748,1.3703158060420852,0.6296351795926072,0.7008485476175943,0.846600084506151,0.6631490020835964,0.6806346108421446,0.8548664279079049,0.612601855735684,AR-LeafParents-window,False
fold_2,AR_AirT_PAR_window,iTransformer,12,120,11440,9,8416,1008,1008,2.026776075363159,1.0763010594515934,1.4398358526038564,0.5654174400891447,1.2399204213278632,1.4198780958702542,0.36066708438977146,1.2172881414019872,1.3512877507302878,0.14182293600903373,AR-LeafParents-window,False
fold_3,AR_AirT_PAR_window,iTransformer,12,120,11440,9,7408,1008,1008,2.013388156890869,1.1209140987044448,1.4819850128525927,0.5607925782940963,0.6852950839390829,0.9065906541666542,0.6026370029459668,1.3868141754846723,1.6030133040226895,0.18510960495077078,AR-LeafParents-window,False
fold_4,AR_AirT_PAR_window,iTransformer,12,120,11440,9,6400,1008,1008,1.7930819988250732,1.1690984621392497,1.5562747107726098,0.5435379813382084,0.8146675049564825,1.0295297551258598,0.4773372360690775,0.6376897241198826,0.8443270017916129,0.6553436345478361,AR-LeafParents-window,False
fold_5,AR_AirT_PAR_window,iTransformer,12,120,11440,9,5392,1008,1008,2.4299814701080322,1.1945021652186805,1.5959373521794282,0.524143201974739,0.9400564940923042,1.1444262328484511,0.4728307739295027,0.827397040589146,1.0468996372660815,0.45955207534474074,AR-LeafParents-window,False
fold_1,AR_AllState,RF,12,120,11440,7,9424,1008,1008,0.3091776371002197,0.5054623739756631,0.73385809070956,0.8937784665161902,0.655877703774224,0.8140173027082227,0.6885785690144706,0.818222694086152,1.040146655321355,0.4264778889203811,AR-AllState,False
fold_2,AR_AllState,RF,12,120,11440,7,8416,1008,1008,0.2927842140197754,0.5272241884641038,0.7512392533174125,0.8816950622110342,1.5805188073674725,2.1944310024097375,-0.5271046722616579,1.363149559848112,1.6398826979276881,-0.26388276260259724,AR-AllState,False
fold_3,AR_AllState,RF,12,120,11440,7,7408,1008,1008,0.29056239128112793,0.5441187189859381,0.769530700117192,0.8815775756228906,0.6597236156351622,0.9133629365084522,0.5966781822621843,1.5992637986847673,2.1479068893996467,-0.4630388120598101,AR-AllState,False
fold_4,AR_AllState,RF,12,120,11440,7,6400,1008,1008,0.27802252769470215,0.5438747521175766,0.776481436886096,0.8863696665170093,0.8574369527824035,1.090250574511767,0.41386668981098795,0.7966010716875264,1.0722320884182415,0.444169278155767,AR-AllState,False
fold_5,AR_AllState,RF,12,120,11440,7,5392,1008,1008,0.25717806816101074,0.5493172179780466,0.7848542483450532,0.8849139654316981,1.0007415298218114,1.2229201890666963,0.39803578975156395,0.9554062820717606,1.2192103634505516,0.2670049429997017,AR-AllState,False
fold_1,AR_AllState,Ridge,12,120,11440,7,9424,1008,1008,0.0010001659393310547,1.0032204038638317,1.3548996505667508,0.6379215686217486,0.7222376391052214,0.8476933644204233,0.6622784370407861,0.718068304988136,0.8496546913895747,0.6173110418025676,AR-AllState,False
fold_2,AR_AllState,Ridge,12,120,11440,7,8416,1008,1008,0.0,1.0345053597545553,1.3958009434372556,0.5915928827489154,0.868842336968467,1.0183803138440248,0.6711143412052613,0.8305153218017443,0.9703286104346067,0.557494271720756,AR-AllState,False
fold_3,AR_AllState,Ridge,12,120,11440,7,7408,1008,1008,0.0010001659393310547,1.0810264113732013,1.4517906969929064,0.5785072924583956,0.7377824018527457,0.8959513546781418,0.6119087884549277,0.9069186117563549,1.0610414566265254,0.642982379548874,AR-AllState,False
fold_4,AR_AllState,Ridge,12,120,11440,7,6400,1008,1008,0.0009984970092773438,1.1332581777369737,1.5112023041256462,0.5695949680230612,0.7975187403141903,1.006876906100989,0.5000846009669857,0.763859031135698,0.925784921931163,0.5856330070840223,AR-AllState,False
fold_5,AR_AllState,Ridge,12,120,11440,7,5392,1008,1008,0.0009996891021728516,1.188322393581285,1.5750777826285338,0.5365012038411874,0.9020520812149788,1.1262165029861346,0.4894735876462398,0.825722316593353,1.0374814552052825,0.4692323562785303,AR-AllState,False
fold_1,AR_AllState,XGBoost,12,120,11440,7,9424,1008,1008,0.09350895881652832,0.6557554045697568,0.91480513908153,0.8349385769706594,0.6054209790154108,0.7467937831347409,0.7378905910494821,0.7059052113881186,0.9001540977284296,0.5704687776893034,AR-AllState,False
fold_2,AR_AllState,XGBoost,12,120,11440,7,8416,1008,1008,0.09350895881652832,0.6763714979369138,0.9298515885026425,0.8187518420547603,1.4195713938607109,2.07525520385796,-0.3657398089342112,1.2297259926417514,1.4843794762208693,-0.03555007675537136,AR-AllState,False
fold_3,AR_AllState,XGBoost,12,120,11440,7,7408,1008,1008,0.10251021385192871,0.6996809533045777,0.9574229658671508,0.8166884927547127,0.6565790660040719,0.8976792323085439,0.6104104465330334,1.5916757334603202,2.3117505878584477,-0.6947549024555038,AR-AllState,False
fold_4,AR_AllState,XGBoost,12,120,11440,7,6400,1008,1008,0.09250974655151367,0.7069490382614965,0.9668675737812124,0.8238161416089591,0.804594925547403,1.0507119236104991,0.45560882512477574,0.7699857097634383,1.0402421898952172,0.47684079058343753,AR-AllState,False
fold_5,AR_AllState,XGBoost,12,120,11440,7,5392,1008,1008,0.08350491523742676,0.7009105334364907,0.9620700034839409,0.8270749351558051,1.0551938537049383,1.347852989334674,0.268760751157616,0.928950322494305,1.2131979162436608,0.2742165409043684,AR-AllState,False
fold_1,AR_PAR,RF,12,120,11440,4,9424,1008,1008,0.29497385025024414,0.6355643382777777,0.905007454417103,0.8384553028502868,0.8250681002659759,1.0102624038818286,0.5203222146759263,0.908878634682673,1.1390724380211514,0.312197580811995,AR-PAR,False
