horizon_steps,horizon_minutes,feature_set,model,n_folds,n_test_mean,p_mean,runtime_s_mean,runtime_s_std,test_MAE_mean,test_MAE_std,test_RMSE_mean,test_RMSE_std,test_R2_mean,test_R2_std,feature_display_name,main_manuscript_configuration
1,10,TwoStage_CBF_AirT_PAR,RF,5,1008.0,5.0,0.30044097900390626,0.027332128941731055,0.27639485567898,0.08197976913079197,0.37828872453931395,0.11723355868221971,0.9352288305695893,0.027145182004525592,Two-stage CBF,True
1,10,TwoStage_CBF_AirT_PAR_Residual,XGBoost,5,1008.0,11.0,0.10846929550170899,0.012099532970477287,0.27734064372128275,0.0948399586209369,0.3808997302153384,0.13463101390781482,0.9333172135590496,0.035181860470710306,Two-stage CBF-residual,False
1,10,AR_AirT_PAR,XGBoost,5,1008.0,5.0,0.0893439769744873,0.006556537576968038,0.2803207879646744,0.08845611813662729,0.3817556550325025,0.12428385933694129,0.9337300592427618,0.03012871770038849,AR-AirT-PAR,False
1,10,AR_AirT_PAR,TimeMixer,5,1008.0,5.0,3.668664741516113,2.3727242911872297,0.2917804896844126,0.1258220486961509,0.3840891725193716,0.16902229107420588,0.9320737243973289,0.04361215944549594,AR-AirT-PAR,False
1,10,AR_AirT_PAR,RF,5,1008.0,5.0,0.2787659168243408,0.01302879750751751,0.2868152082348955,0.08783364128402697,0.388475545955524,0.12424242177597816,0.9313865401244061,0.030016231737271172,AR-AirT-PAR,False
1,10,AR_AirT_PAR_window,XGBoost,5,1008.0,9.0,0.09543943405151367,0.005002776654680284,0.28760854086127435,0.10290841451629387,0.39331081546435137,0.14756584078940524,0.9288540101748163,0.038854211999960496,AR-LeafParents-window,False
1,10,AR_AirT_PAR_window,RF,5,1008.0,9.0,0.29975261688232424,0.011333503673627312,0.30498741509435234,0.10847418177592734,0.4125224880327827,0.15465334260121144,0.9218598836118652,0.041543520489688214,AR-LeafParents-window,False
1,10,AR-LeafParents,XGBoost,5,1008.0,3.0,0.10010790824890137,0.013390491812848815,0.31300221968958614,0.09673980753286354,0.4132420730968517,0.12470079172109261,0.9229101160407074,0.030412649941545855,AR-LeafParents,True
1,10,AR_AllState,XGBoost,5,1008.0,7.0,0.09576573371887206,0.004784388257907609,0.30183991023976964,0.10794836145885328,0.4173928464235974,0.14569414579557002,0.9201765717582212,0.038448719875095766,AR-AllState,False
1,10,TwoStage_CBF_AirT_PAR_Residual,RF,5,1008.0,11.0,0.3023376941680908,0.02644217191068578,0.3202250094627221,0.11928540377730848,0.43510542898633864,0.17010298479278202,0.9125240282692587,0.049386082353410354,Two-stage CBF-residual,False
1,10,AR_AllState,RF,5,1008.0,7.0,0.2957906723022461,0.014933225206294625,0.3277490651032937,0.11874025822525326,0.4416491850564501,0.16252574236275014,0.9094719271596254,0.04900284395524519,AR-AllState,False
1,10,AR-LeafParents,RF,5,1008.0,3.0,0.25235185623168943,0.020936864024952484,0.38400716741978286,0.11477961918658647,0.499723097289443,0.15483082392122177,0.8865288728579799,0.04983114494563557,AR-LeafParents,True
1,10,AR_AirT_PAR_window,iTransformer,5,1008.0,9.0,4.993002080917359,2.3619513812034114,0.5963781446174339,0.19158016916682208,0.7925090239784833,0.24072269931345636,0.7176086288734688,0.11079626208129223,AR-LeafParents-window,False
1,10,AR-LeafParents,iTransformer,5,1008.0,3.0,3.883769989013672,2.7313681715906664,0.6849534628227274,0.3101978977183211,0.8752367140843837,0.3303353162071792,0.6456510315815533,0.19958635199554978,AR-LeafParents,True
1,10,TwoStage_CBF_AirT_PAR_Residual,iTransformer,5,1008.0,11.0,5.056818437576294,2.1126241563547947,0.6956823331809339,0.24915447207863045,0.8869695173844969,0.29850481731768064,0.640586786222817,0.16679361800268547,Two-stage CBF-residual,False
3,30,AR_AirT,TimeMixer,5,1008.0,4.0,2.7739867210388183,2.005218048232414,0.28221394891875845,0.0777467164363363,0.3906893170929343,0.116366374208134,0.9247210252302107,0.050184808372480766,AR-AirT,True
3,30,AR_AirT,PatchTST,5,1008.0,4.0,3.5864360332489014,1.5150666622917792,0.29817275904599944,0.06667764001017834,0.3992361653094358,0.09224741576363484,0.9253836272139158,0.0323085668114693,AR-AirT,True
3,30,TwoStage_CBF_AirT_PAR,PatchTST,5,1008.0,5.0,4.196034908294678,1.7881193552594195,0.31919029922946685,0.07649415123819438,0.4234547951445122,0.09185561633812363,0.9182077506051607,0.02585015104112972,Two-stage CBF,True
3,30,AR_AirT,Ridge,5,1008.0,4.0,0.0003991127014160156,0.0005465076778930634,0.3263404698952143,0.04364262925486788,0.4244439956123422,0.07539619209011807,0.915664556466418,0.03382465134007718,AR-AirT,True
3,30,AR_AllState,Ridge,5,1008.0,7.0,0.0006025791168212891,0.0005501019222557611,0.33556654610643655,0.041187247583778855,0.4264458053001435,0.059903070778012504,0.9167352307008411,0.023249774137469318,AR-AllState,False
