feature,importance_std,abs_importance_std,importance_raw,abs_importance_raw,intercept_raw,rank_value,fold,horizon_steps,horizon_minutes,feature_set,model
compartment/par_hat,0.007515790848575015,0.007515790848575015,6.913817185341568e-05,6.913817185341568e-05,1.7937980567664091,6.913817185341568e-05,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/air_temperature_hat,1.3575604634511966,1.3575604634511966,0.6704586846341273,0.6704586846341273,1.5981205866742023,0.6704586846341273,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/leaf_temperature_lag1,1.44405539064475,1.44405539064475,0.6611877151096195,0.6611877151096195,1.5981205866742023,0.6611877151096195,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/air_temperature_obs_lag3,-0.5048766728206486,0.5048766728206486,-0.23303516036865216,0.23303516036865216,1.5981205866742023,0.23303516036865216,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/air_temperature_obs_lag1,-0.352164334652958,0.352164334652958,-0.1625429706306599,0.1625429706306599,1.5981205866742023,0.1625429706306599,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/leaf_temperature_lag3,0.2600071061763902,0.2600071061763902,0.11903994197893565,0.11903994197893565,1.5981205866742023,0.11903994197893565,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/air_temperature_obs_lag2,-0.23130131037865598,0.23130131037865598,-0.10675870740137124,0.10675870740137124,1.5981205866742023,0.10675870740137124,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/leaf_temperature_lag2,-0.014615219404423329,0.014615219404423329,-0.006691594773591134,0.006691594773591134,1.5981205866742023,0.006691594773591134,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/par_obs_lag1,0.25231804086484255,0.25231804086484255,0.0017956988882934495,0.0017956988882934495,1.5981205866742023,0.0017956988882934495,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/par_hat,-0.05729072775295545,0.05729072775295545,-0.0005419905885401364,0.0005419905885401364,1.5981205866742023,0.0005419905885401364,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/par_obs_lag2,-0.03496008144454194,0.03496008144454194,-0.00024879504157862504,0.00024879504157862504,1.5981205866742023,0.00024879504157862504,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/par_obs_lag3,0.022568720007013546,0.022568720007013546,0.00016060396766642157,0.00016060396766642157,1.5981205866742023,0.00016060396766642157,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/leaf_temperature_lag1,1.5981538997744034,1.5981538997744034,0.7098509777342611,0.7098509777342611,1.1801232929359031,0.7098509777342611,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/air_temperature_hat,1.269580840003492,1.269580840003492,0.6120479016695183,0.6120479016695183,1.1801232929359031,0.6120479016695183,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/air_temperature_obs_lag3,-0.40506470481725826,0.40506470481725826,-0.18330256757725896,0.18330256757725896,1.1801232929359031,0.18330256757725896,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/air_temperature_obs_lag1,-0.35494390092234435,0.35494390092234435,-0.16062031673536503,0.16062031673536503,1.1801232929359031,0.16062031673536503,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/air_temperature_obs_lag2,-0.1935051749740425,0.1935051749740425,-0.0875659038450741,0.0875659038450741,1.1801232929359031,0.0875659038450741,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/leaf_temperature_lag3,0.18535975485504513,0.18535975485504513,0.0823343595502937,0.0823343595502937,1.1801232929359031,0.0823343595502937,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/leaf_temperature_lag2,-0.02136518227636468,0.02136518227636468,-0.009489935864863042,0.009489935864863042,1.1801232929359031,0.009489935864863042,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/par_obs_lag1,0.3170608542798788,0.3170608542798788,0.002321141073073208,0.002321141073073208,1.1801232929359031,0.002321141073073208,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/par_hat,-0.15230734169312138,0.15230734169312138,-0.0014651390561658264,0.0014651390561658264,1.1801232929359031,0.0014651390561658264,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/par_obs_lag2,-0.033995131415707966,0.033995131415707966,-0.00024885836153684616,0.00024885836153684616,1.1801232929359031,0.00024885836153684616,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/par_obs_lag3,0.015623452003891463,0.015623452003891463,0.00011436389016525717,0.00011436389016525717,1.1801232929359031,0.00011436389016525717,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,Ridge
compartment/leaf_temperature_lag1,0.2599700740645879,0.2599700740645879,,,,0.2599700740645879,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag2,0.1681411984665022,0.1681411984665022,,,,0.1681411984665022,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag3,0.13959365684791245,0.13959365684791245,,,,0.13959365684791245,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_hat,0.1330883754170131,0.1330883754170131,,,,0.1330883754170131,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag1,0.11347915436446794,0.11347915436446794,,,,0.11347915436446794,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag2,0.06195740926270882,0.06195740926270882,,,,0.06195740926270882,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag3,0.040799828420099854,0.040799828420099854,,,,0.040799828420099854,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag1,0.022554088621006746,0.022554088621006746,,,,0.022554088621006746,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_hat,0.02070744062941106,0.02070744062941106,,,,0.02070744062941106,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag2,0.02004353593312398,0.02004353593312398,,,,0.02004353593312398,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag3,0.019665237973165984,0.019665237973165984,,,,0.019665237973165984,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag1,0.27656482571459917,0.27656482571459917,,,,0.27656482571459917,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag2,0.17597684681409573,0.17597684681409573,,,,0.17597684681409573,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag3,0.1438096367698106,0.1438096367698106,,,,0.1438096367698106,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_hat,0.12992495079122157,0.12992495079122157,,,,0.12992495079122157,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag1,0.09924788132865821,0.09924788132865821,,,,0.09924788132865821,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag2,0.058190659322661,0.058190659322661,,,,0.058190659322661,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag3,0.043178290442027124,0.043178290442027124,,,,0.043178290442027124,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag1,0.020776019841524728,0.020776019841524728,,,,0.020776019841524728,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag3,0.01866523847842904,0.01866523847842904,,,,0.01866523847842904,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_hat,0.01712480652524289,0.01712480652524289,,,,0.01712480652524289,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag2,0.01654084397173007,0.01654084397173007,,,,0.01654084397173007,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag1,0.27189975509959846,0.27189975509959846,,,,0.27189975509959846,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag2,0.17851875064219933,0.17851875064219933,,,,0.17851875064219933,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag3,0.14408002501052192,0.14408002501052192,,,,0.14408002501052192,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_hat,0.12666963417008736,0.12666963417008736,,,,0.12666963417008736,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag1,0.1063553146646781,0.1063553146646781,,,,0.1063553146646781,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag2,0.06160470028318854,0.06160470028318854,,,,0.06160470028318854,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag3,0.04151836791912783,0.04151836791912783,,,,0.04151836791912783,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag1,0.018937338841622558,0.018937338841622558,,,,0.018937338841622558,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag3,0.017830549760168853,0.017830549760168853,,,,0.017830549760168853,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_hat,0.01662116860724199,0.01662116860724199,,,,0.01662116860724199,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag2,0.01596439500156517,0.01596439500156517,,,,0.01596439500156517,fold_3,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag1,0.2823574533721544,0.2823574533721544,,,,0.2823574533721544,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag2,0.18185397436895656,0.18185397436895656,,,,0.18185397436895656,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag3,0.1379894275992345,0.1379894275992345,,,,0.1379894275992345,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_hat,0.13752449065607075,0.13752449065607075,,,,0.13752449065607075,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag1,0.09211502710952062,0.09211502710952062,,,,0.09211502710952062,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag2,0.06122752595362614,0.06122752595362614,,,,0.06122752595362614,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag3,0.04009062673306446,0.04009062673306446,,,,0.04009062673306446,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag1,0.01778900518640512,0.01778900518640512,,,,0.01778900518640512,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag3,0.017434263019980287,0.017434263019980287,,,,0.017434263019980287,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_hat,0.015899091196773244,0.015899091196773244,,,,0.015899091196773244,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag2,0.0157191148042139,0.0157191148042139,,,,0.0157191148042139,fold_2,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag1,0.2852542072047147,0.2852542072047147,,,,0.2852542072047147,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag2,0.19544961929270524,0.19544961929270524,,,,0.19544961929270524,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag3,0.148063694629996,0.148063694629996,,,,0.148063694629996,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_hat,0.11597708919716436,0.11597708919716436,,,,0.11597708919716436,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag1,0.09763366758133189,0.09763366758133189,,,,0.09763366758133189,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag2,0.05860911871325091,0.05860911871325091,,,,0.05860911871325091,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/air_temperature_obs_lag3,0.04269660501173566,0.04269660501173566,,,,0.04269660501173566,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag2,0.0148841366402421,0.0148841366402421,,,,0.0148841366402421,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag1,0.014637674375276605,0.014637674375276605,,,,0.014637674375276605,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_obs_lag3,0.014130795760656139,0.014130795760656139,,,,0.014130795760656139,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/par_hat,0.012663391592926464,0.012663391592926464,,,,0.012663391592926464,fold_1,3,30,TwoStage_CBF_AirT_PAR_Residual,RF
compartment/leaf_temperature_lag1,0.40406665205955505,0.40406665205955505,,,,0.40406665205955505,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/leaf_temperature_lag2,0.27882638573646545,0.27882638573646545,,,,0.27882638573646545,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/air_temperature_hat,0.15502332150936127,0.15502332150936127,,,,0.15502332150936127,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/air_temperature_obs_lag1,0.0499168336391449,0.0499168336391449,,,,0.0499168336391449,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/par_obs_lag1,0.02629622258245945,0.02629622258245945,,,,0.02629622258245945,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/par_hat,0.021508514881134033,0.021508514881134033,,,,0.021508514881134033,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/par_obs_lag3,0.015391205437481403,0.015391205437481403,,,,0.015391205437481403,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/leaf_temperature_lag3,0.01348187867552042,0.01348187867552042,,,,0.01348187867552042,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/air_temperature_obs_lag3,0.01199948787689209,0.01199948787689209,,,,0.01199948787689209,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/air_temperature_obs_lag2,0.011942540295422077,0.011942540295422077,,,,0.011942540295422077,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/par_obs_lag2,0.011546970345079899,0.011546970345079899,,,,0.011546970345079899,fold_5,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/leaf_temperature_lag1,0.458678662776947,0.458678662776947,,,,0.458678662776947,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/leaf_temperature_lag2,0.28581252694129944,0.28581252694129944,,,,0.28581252694129944,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/air_temperature_hat,0.09827446192502975,0.09827446192502975,,,,0.09827446192502975,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/air_temperature_obs_lag1,0.04766005277633667,0.04766005277633667,,,,0.04766005277633667,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/par_obs_lag1,0.024226095527410507,0.024226095527410507,,,,0.024226095527410507,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/par_hat,0.021317586302757263,0.021317586302757263,,,,0.021317586302757263,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
compartment/air_temperature_obs_lag2,0.015314958989620209,0.015314958989620209,,,,0.015314958989620209,fold_4,3,30,TwoStage_CBF_AirT_PAR_Residual,XGBoost
