fold,feature_set,model,horizon_steps,horizon_minutes,stageA_AirT_MAE,stageA_PAR_MAE,stageB_LeafT_MAE,amplification_ratio_vs_10min,feature_display_name
fold_1,TwoStage_CBF_AirT_PAR,RF,6,60,0.6862743218609856,33.2540794449546,0.5381203221061157,1.9469259685900882,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,RF,6,60,0.6248067117825653,34.49001252560068,0.7919070146785511,2.8651293553680137,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,RF,6,60,0.7258128996562041,42.30058857249289,0.911502554923185,3.2978274964055543,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,RF,6,60,0.6971582588834994,47.48040780628376,0.49809372837953203,1.8021092583504708,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,RF,6,60,0.6794129891367675,53.896339459323045,0.6051785382249377,2.189543422355968,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,RF,12,120,1.05321483496252,46.90398835596137,0.9047482970562516,3.273390508060235,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,RF,12,120,0.9701148087452965,47.85578930160777,1.1255010373592016,4.072076647715975,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,RF,12,120,1.1266044444142242,56.646190095343606,1.2839305384600888,4.64527653854497,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,RF,12,120,0.9716516722704003,62.08542086174676,0.6963637981573196,2.51945281849281,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,RF,12,120,0.947551542679883,68.98909974508489,0.9520939278621084,3.4446875848077365,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,Ridge,1,10,0.29560394639381654,15.337720013102375,0.20089472466985803,0.9302453668080186,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,Ridge,1,10,0.24564242451146923,15.622660524619198,0.2189124850602625,1.0136768165435706,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,Ridge,1,10,0.293777371584017,18.576619840307405,0.24780162051238827,1.1474482953596163,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,Ridge,1,10,0.33521522933899633,23.091999480132834,0.20177706233426496,0.9343310416589815,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,Ridge,1,10,0.3074566175712704,30.107125991746496,0.21040838449226812,0.974298479629813,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,Ridge,3,30,0.4715357942658052,23.14840365565132,0.35244563816654906,1.6320036401897586,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,Ridge,3,30,0.40886311130297937,23.553886641625468,0.3714376949963766,1.7199465809570451,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,Ridge,3,30,0.4962894967444617,28.98607265465326,0.4111415749076244,1.903795860187431,Two-stage CBF
