sensor_scenario,event_q,deltaT_threshold,model,algorithm,horizon_min,roc_auc_mean_std,pr_auc_mean_std,f1_mean_std,top10_alert_precision_mean_std,positive_rate,n_folds,n_samples
noise_5,0.85,3.1758386827288914,DT-proxy base,RF,60,0.736 ± 0.041,0.342 ± 0.143,0.357 ± 0.103,0.397 ± 0.167,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,DT-proxy base,XGBoost,60,0.748 ± 0.041,0.346 ± 0.130,0.367 ± 0.105,0.391 ± 0.145,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal-parents,Logistic,60,0.800 ± 0.038,0.387 ± 0.184,0.347 ± 0.154,0.401 ± 0.215,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal-parents,RF,60,0.767 ± 0.031,0.364 ± 0.158,0.288 ± 0.148,0.403 ± 0.179,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal-parents,XGBoost,60,0.768 ± 0.049,0.374 ± 0.169,0.320 ± 0.141,0.410 ± 0.187,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,Logistic,60,0.775 ± 0.088,0.382 ± 0.185,0.368 ± 0.122,0.421 ± 0.183,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,RF,60,0.783 ± 0.059,0.409 ± 0.189,0.238 ± 0.145,0.468 ± 0.183,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,XGBoost,60,0.772 ± 0.082,0.396 ± 0.189,0.321 ± 0.110,0.437 ± 0.181,0.1503947621798575,5,10386
noise_5,0.85,3.1758386827288914,DT-proxy base,Logistic,120,0.713 ± 0.033,0.266 ± 0.110,0.334 ± 0.116,0.312 ± 0.167,0.15063731170336037,5,10356
noise_5,0.85,3.1758386827288914,DT-proxy base,RF,120,0.688 ± 0.042,0.255 ± 0.142,0.268 ± 0.121,0.308 ± 0.191,0.15063731170336037,5,10356
noise_5,0.85,3.1758386827288914,DT-proxy base,XGBoost,120,0.696 ± 0.033,0.260 ± 0.145,0.284 ± 0.116,0.305 ± 0.184,0.15063731170336037,5,10356
