time,deltaT_raw,sensor_scenario,event_h10,event_h30,event_h60,event_h120
2024-11-16 02:50:00,2.202108006049354,noise_5,0.0,0.0,0.0,0.0
2024-11-16 03:00:00,2.2170216923746437,noise_5,0.0,0.0,0.0,0.0
2024-11-16 03:10:00,2.1075544847003655,noise_5,0.0,0.0,0.0,0.0
2024-11-16 03:20:00,2.0020896709479317,noise_5,0.0,0.0,0.0,0.0
2024-11-16 03:30:00,1.7565121872699407,noise_5,0.0,0.0,0.0,0.0
2024-11-16 03:40:00,2.114621254344808,noise_5,0.0,0.0,0.0,0.0
2024-11-16 03:50:00,2.163031366980075,noise_5,0.0,0.0,0.0,0.0
2024-11-16 04:00:00,2.1205770875112755,noise_5,0.0,0.0,0.0,0.0
2024-11-16 04:10:00,2.1662884448996707,noise_5,0.0,0.0,0.0,0.0
2024-11-16 04:20:00,2.5480706277386,noise_5,0.0,0.0,0.0,0.0
2024-11-16 04:30:00,2.1705576616712605,noise_5,0.0,0.0,0.0,0.0
2024-11-16 04:40:00,1.7635413946853475,noise_5,0.0,0.0,0.0,0.0
2024-11-16 04:50:00,2.6281164531660863,noise_5,0.0,0.0,0.0,0.0
2024-11-16 05:00:00,2.7416374034489515,noise_5,0.0,0.0,0.0,0.0
2024-11-16 05:10:00,2.300934366798934,noise_5,0.0,0.0,0.0,0.0
2024-11-16 05:20:00,2.2056660079945445,noise_5,0.0,0.0,0.0,0.0
2024-11-16 05:30:00,2.4192695011529537,noise_5,0.0,0.0,0.0,0.0
2024-11-16 05:40:00,2.1187415324877534,noise_5,0.0,0.0,0.0,0.0
2024-11-16 05:50:00,2.246086383130301,noise_5,0.0,0.0,0.0,0.0
2024-11-16 06:00:00,2.3478177142037886,noise_5,0.0,0.0,0.0,0.0
2024-11-16 06:10:00,2.372329485033667,noise_5,0.0,0.0,0.0,0.0
2024-11-16 06:20:00,2.4632841649655397,noise_5,0.0,0.0,0.0,0.0
2024-11-16 06:30:00,2.6242591865455296,noise_5,0.0,0.0,0.0,0.0
2024-11-16 06:40:00,2.3524386942526654,noise_5,0.0,0.0,0.0,0.0
2024-11-16 06:50:00,2.3194171828060917,noise_5,0.0,0.0,0.0,0.0
2024-11-16 07:00:00,1.9478844315713246,noise_5,0.0,0.0,0.0,0.0
2024-11-16 07:10:00,2.147139358258375,noise_5,0.0,0.0,0.0,0.0
2024-11-16 07:20:00,2.079271444291358,noise_5,0.0,0.0,0.0,0.0
2024-11-16 07:30:00,2.479011071140121,noise_5,0.0,0.0,0.0,0.0
2024-11-16 07:40:00,2.3636026836775272,noise_5,0.0,0.0,0.0,0.0
2024-11-16 07:50:00,2.1174823301502137,noise_5,0.0,0.0,0.0,0.0
2024-11-16 08:00:00,1.959863412391769,noise_5,0.0,0.0,0.0,0.0
2024-11-16 08:10:00,2.111244328672715,noise_5,0.0,0.0,0.0,0.0
2024-11-16 08:20:00,2.1125721691039026,noise_5,0.0,0.0,0.0,0.0
2024-11-16 08:30:00,1.9101728066619756,noise_5,0.0,0.0,0.0,0.0
2024-11-16 08:40:00,1.0584496513090258,noise_5,0.0,0.0,0.0,0.0
2024-11-16 08:50:00,1.2730274010108893,noise_5,0.0,0.0,0.0,0.0
2024-11-16 09:00:00,0.6299058125526784,noise_5,0.0,0.0,0.0,0.0
2024-11-16 09:10:00,0.8851430972274379,noise_5,0.0,0.0,0.0,0.0
2024-11-16 09:20:00,0.9698482680830054,noise_5,0.0,0.0,0.0,0.0
2024-11-16 09:30:00,1.3407856077977591,noise_5,0.0,0.0,0.0,0.0
2024-11-16 09:40:00,1.344989054607069,noise_5,0.0,0.0,0.0,0.0
2024-11-16 09:50:00,1.3223519663543293,noise_5,0.0,0.0,0.0,0.0
2024-11-16 10:00:00,1.4011785473231484,noise_5,0.0,0.0,0.0,0.0
2024-11-16 10:10:00,1.0604897756227203,noise_5,0.0,0.0,0.0,0.0
2024-11-16 10:20:00,1.2362213101092827,noise_5,0.0,0.0,0.0,0.0
2024-11-16 10:30:00,1.2570998458449374,noise_5,0.0,0.0,0.0,0.0
2024-11-16 10:40:00,1.4856556937906333,noise_5,0.0,0.0,0.0,0.0
2024-11-16 10:50:00,1.4425865361124934,noise_5,0.0,0.0,0.0,0.0
2024-11-16 11:00:00,0.8513415559588111,noise_5,0.0,0.0,0.0,0.0
2024-11-16 11:10:00,1.0849048313561305,noise_5,0.0,0.0,0.0,0.0
2024-11-16 11:20:00,0.7585598579023518,noise_5,0.0,0.0,0.0,0.0
2024-11-16 11:30:00,0.9658938264371422,noise_5,0.0,0.0,0.0,0.0
2024-11-16 11:40:00,1.1837588742938365,noise_5,0.0,0.0,0.0,0.0
2024-11-16 11:50:00,1.3792222689299187,noise_5,0.0,0.0,0.0,0.0
2024-11-16 12:00:00,1.4320307855673384,noise_5,0.0,0.0,0.0,0.0
2024-11-16 12:10:00,1.7895344097614831,noise_5,0.0,0.0,0.0,0.0
2024-11-16 12:20:00,1.9000606534696445,noise_5,0.0,0.0,0.0,0.0
2024-11-16 12:30:00,1.643330962887319,noise_5,0.0,0.0,0.0,0.0
2024-11-16 12:40:00,1.5211242687767488,noise_5,0.0,0.0,0.0,0.0
2024-11-16 12:50:00,2.0726567613125084,noise_5,0.0,0.0,0.0,0.0
2024-11-16 13:00:00,1.8590475142532696,noise_5,0.0,0.0,0.0,0.0
2024-11-16 13:10:00,2.1785104131746174,noise_5,0.0,0.0,0.0,0.0
2024-11-16 13:20:00,1.7649060829663483,noise_5,0.0,0.0,0.0,1.0
2024-11-16 13:30:00,2.0312027054996804,noise_5,0.0,0.0,0.0,0.0
2024-11-16 13:40:00,2.1774209476163975,noise_5,0.0,0.0,0.0,0.0
2024-11-16 13:50:00,2.403102634593232,noise_5,0.0,0.0,0.0,0.0
2024-11-16 14:00:00,2.6130718427512214,noise_5,0.0,0.0,0.0,0.0
2024-11-16 14:10:00,2.617326755056528,noise_5,0.0,0.0,0.0,0.0
2024-11-16 14:20:00,2.558842522514837,noise_5,0.0,0.0,1.0,0.0
2024-11-16 14:30:00,2.547599857272612,noise_5,0.0,0.0,0.0,0.0
2024-11-16 14:40:00,2.7875032658193177,noise_5,0.0,0.0,0.0,0.0
2024-11-16 14:50:00,3.037792278798392,noise_5,0.0,1.0,0.0,0.0
2024-11-16 15:00:00,3.0008143925615656,noise_5,0.0,0.0,0.0,0.0
2024-11-16 15:10:00,2.959213053800511,noise_5,1.0,0.0,0.0,0.0
2024-11-16 15:20:00,3.468994546879067,noise_5,0.0,0.0,0.0,0.0
2024-11-16 15:30:00,3.292409164664374,noise_5,0.0,0.0,0.0,0.0
2024-11-16 15:40:00,3.1751407605825577,noise_5,0.0,0.0,0.0,0.0
2024-11-16 15:50:00,3.2017109735832925,noise_5,0.0,0.0,0.0,1.0
2024-11-16 16:00:00,2.4849587968064597,noise_5,0.0,0.0,0.0,1.0
2024-11-16 16:10:00,2.615332309000216,noise_5,0.0,0.0,0.0,1.0
2024-11-16 16:20:00,2.416274067303892,noise_5,0.0,0.0,0.0,0.0
2024-11-16 16:30:00,2.253670639027497,noise_5,0.0,0.0,0.0,0.0
2024-11-16 16:40:00,2.176968970571405,noise_5,0.0,0.0,0.0,0.0
2024-11-16 16:50:00,1.9494211023644752,noise_5,0.0,0.0,1.0,0.0
2024-11-16 17:00:00,2.2416892669171666,noise_5,0.0,0.0,1.0,0.0
2024-11-16 17:10:00,1.9023443374308684,noise_5,0.0,0.0,1.0,0.0
2024-11-16 17:20:00,2.5196848939934853,noise_5,0.0,1.0,0.0,0.0
2024-11-16 17:30:00,3.1911606606476646,noise_5,0.0,1.0,0.0,0.0
2024-11-16 17:40:00,3.3630710743893424,noise_5,1.0,1.0,0.0,0.0
