target,stage,tau_max,tau_cap_lags,n_edges,n_features,pcmci_seconds,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,n_folds
compartment/co2_concentration,fine,2,12,8,8,14.87730539997574,0.10785173476891985,0.011425952930256878,0.16193851429178033,0.017723952354309624,0.9428606258244974,5
compartment/co2_concentration,fine,3,12,14,14,28.24527329998091,0.09774976150275985,0.009338200425779349,0.14770979592686473,0.016000504424279166,0.9516923569818732,5
compartment/co2_concentration,fine,4,12,13,13,44.37787510000635,0.09673690128666741,0.00945433022586818,0.14673021686372684,0.015795262099624563,0.9520539662732332,5
compartment/co2_concentration,fine,5,12,16,16,50.12829879997298,0.09648459237395753,0.009303609380479378,0.14626653505734705,0.015169891673205343,0.9519564339157993,5
compartment/co2_concentration,fine,6,12,16,16,54.320966899977066,0.0970741489304489,0.00925900861255774,0.14676011800891636,0.015149539251824504,0.951774435723871,5
compartment/co2_concentration,fine,7,12,13,13,62.46549989993218,0.09710144484098776,0.009538485158614017,0.14681382188580644,0.015679359681486867,0.951754684344834,5
compartment/par,coarse,9,12,9,9,87.82907729991712,0.09080552863340292,0.038939082546248435,0.19746546337682622,0.10365989595444823,0.909779793955153,5
compartment/par,coarse,12,12,10,10,97.62616009998601,0.09080770711335324,0.03939514143862889,0.19805979640540539,0.1033562235113283,0.9094010977902867,5
compartment/par,fine,1,12,7,7,5.691411399981007,0.11970471651798835,0.057919587524493873,0.22404513098581372,0.11207487139804732,0.8862680825158357,5
compartment/par,fine,2,12,8,8,16.517369400011376,0.10771635498817984,0.05063323358906927,0.20890056685594155,0.10743933955713467,0.8999773084711725,5
compartment/par,fine,3,12,6,6,24.554518199991435,0.09794016139466394,0.04255565226361196,0.1994008388067757,0.10300008542203376,0.9084097420771624,5
compartment/par,fine,4,12,7,7,37.389974700054154,0.09490693010951637,0.040118851328925245,0.19795206062498,0.10329482047874718,0.9094581048229268,5
compartment/par,fine,5,12,10,10,49.577882200013846,0.0917383797081377,0.04031150875581377,0.1983726560663816,0.10411583124397601,0.9090003552215414,5
compartment/par,fine,6,12,8,8,53.18203549995087,0.0929356281504049,0.04010454241618571,0.19900903137898646,0.1032485537467865,0.9086996131147765,5
compartment/par,fine,7,12,10,10,64.4333450999111,0.09076471004435516,0.03883401842513162,0.19689561614188972,0.10373476353812082,0.9101753734430369,5
substrate_relative_permittivity_mean,coarse,48,72,7,7,314.96548350004014,0.037712530448910174,0.005839698687100836,0.13378913323491312,0.12354211599636267,0.9202619813870137,5
substrate_relative_permittivity_mean,coarse,72,72,10,10,507.7234127999982,0.038057635089237304,0.005788871650507417,0.13408939614987608,0.12362771807931305,0.919882529547808,5
substrate_relative_permittivity_mean,fine,1,72,2,2,5.582313499995507,0.038171910494822894,0.0051043625750436415,0.13093806499908175,0.11407831446902107,0.922344686490917,5
substrate_relative_permittivity_mean,fine,2,72,5,5,14.999259700067341,0.03754862518698558,0.005776865406453471,0.1338221573472506,0.12373817661617184,0.920229375849863,5
substrate_relative_permittivity_mean,fine,3,72,6,6,23.395789499976672,0.037615341793363115,0.005777747012570145,0.13391500253807953,0.12366952092175455,0.9200892975037858,5
substrate_relative_permittivity_mean,fine,4,72,7,7,36.85625360009726,0.037607529892511066,0.005719490618595962,0.13390526003220687,0.1235305263793458,0.9200952940306548,5
substrate_relative_permittivity_mean,fine,5,72,6,6,49.11342229996808,0.03765099104934293,0.005602138481361829,0.13394616347463137,0.12322768253776656,0.9200115738998601,5
substrate_relative_permittivity_mean,fine,6,72,6,6,54.20533979998436,0.037651929445648234,0.005600246229688048,0.133946842050865,0.12322484934083788,0.9200100389792041,5
substrate_relative_permittivity_mean,fine,7,72,4,4,64.06661820004229,0.037507526197865806,0.005625211665706851,0.1339422775871749,0.12362680247443321,0.9200897768317813,5
substrate_relative_permittivity_mean,fine,8,72,4,4,77.27209210000001,0.03750741250502156,0.005624226858840538,0.13394392814974637,0.12362906085490519,0.9200877674316315,5
substrate_relative_permittivity_mean,fine,9,72,7,7,84.9190021000104,0.03765764997155455,0.005580667191139866,0.13383395149587252,0.12311125585160396,0.9201520782583408,5
substrate_relative_permittivity_mean,fine,10,72,6,6,90.4498582999222,0.03764972961838399,0.0055987729127010685,0.13396192722776984,0.12325836742197677,0.9199953025797327,5
